INFO - 2024-12-25 15:31:09,049  -worker.py - Worker finished.
ERROR - 2024-12-26 18:23:22,049  -users.py - User not have image in serice Gravatar
ERROR - 2024-12-26 18:23:22,056  -users.py - Failed to get user token: DB error/refresh_token
ERROR - 2024-12-26 18:23:22,071  -users.py - Failed to update user's token: DB error/refresh_token
ERROR - 2024-12-26 18:29:22,605  -users.py - User not have image in serice Gravatar
ERROR - 2024-12-26 18:29:22,613  -users.py - Failed to get user token: DB error/refresh_token
ERROR - 2024-12-26 18:29:22,627  -users.py - Failed to update user's token: DB error/refresh_token
ERROR - 2024-12-26 18:29:50,297  -users.py - User not have image in serice Gravatar
ERROR - 2024-12-26 18:29:50,304  -users.py - Failed to get user token: DB error/refresh_token
ERROR - 2024-12-26 18:29:50,319  -users.py - Failed to update user's token: DB error/refresh_token
ERROR - 2024-12-26 19:58:18,804  -users.py - User not have image in serice Gravatar
ERROR - 2024-12-26 19:58:18,810  -users.py - Failed to get user token: DB error/refresh_token
ERROR - 2024-12-26 19:58:18,825  -users.py - Failed to update user's token: DB error/refresh_token
ERROR - 2024-12-26 19:58:49,890  -users.py - User not have image in serice Gravatar
ERROR - 2024-12-26 19:58:49,896  -users.py - Failed to get user token: DB error/refresh_token
ERROR - 2024-12-26 19:58:49,911  -users.py - Failed to update user's token: DB error/refresh_token
ERROR - 2024-12-26 20:01:44,297  -users.py - User not have image in serice Gravatar
ERROR - 2024-12-26 20:01:44,303  -users.py - Failed to get user token: DB error/refresh_token
ERROR - 2024-12-26 20:01:44,318  -users.py - Failed to update user's token: DB error/refresh_token
ERROR - 2024-12-26 20:04:07,785  -users.py - User not have image in serice Gravatar
ERROR - 2024-12-26 20:04:07,792  -users.py - Failed to get user token: DB error/refresh_token
ERROR - 2024-12-26 20:04:07,806  -users.py - Failed to update user's token: DB error/refresh_token
ERROR - 2024-12-26 20:08:07,404  -users.py - User not have image in serice Gravatar
ERROR - 2024-12-26 20:08:07,410  -users.py - Failed to get user token: DB error/refresh_token
ERROR - 2024-12-26 20:08:07,424  -users.py - Failed to update user's token: DB error/refresh_token
ERROR - 2024-12-26 20:09:42,693  -users.py - User not have image in serice Gravatar
ERROR - 2024-12-26 20:09:42,700  -users.py - Failed to get user token: DB error/refresh_token
ERROR - 2024-12-26 20:09:42,714  -users.py - Failed to update user's token: DB error/refresh_token
ERROR - 2024-12-26 20:14:37,513  -users.py - User not have image in serice Gravatar
ERROR - 2024-12-26 20:14:37,524  -users.py - Failed to get user token: DB error/refresh_token
ERROR - 2024-12-26 20:14:37,550  -users.py - Failed to update user's token: DB error/refresh_token
ERROR - 2024-12-26 20:14:50,373  -users.py - User not have image in serice Gravatar
ERROR - 2024-12-26 20:14:50,385  -users.py - Failed to get user token: DB error/refresh_token
ERROR - 2024-12-26 20:14:50,413  -users.py - Failed to update user's token: DB error/refresh_token
